Country/Other,Population (2020),Yearly Change,Net Change,Density , Land Area,Migrants (net),Fert. Rate,Med. Age,Urban Pop %,World Share,Country
Togo,8278724,2.43,196358,152,54390,-2000,4.4,19,43,0.11,Togo
Trinidad and Tobago,1399488,0.32,4515,273,5130,-800,1.7,36,52,0.02,Trinidad and Tobago
Tunisia,11818619,1.06,123900,76,155360,-4000,2.2,33,70,0.15,Tunisia
Turkey,84339067,1.09,909452,110,769630,283922,2.1,32,76,1.08,Turkey
Uganda,45741007,3.32,1471413,229,199810,168694,5,17,26,0.59,Uganda
Ukraine,43733762,-0.59,-259876,75,579320,10000,1.4,41,69,0.56,Ukraine
United Arab Emirates,9890402,1.23,119873,118,83600,40000,1.4,33,86,0.13,United Arab Emirates
United Kingdom,67886011,0.53,355839,281,241930,260650,1.8,40,83,0.87,United Kingdom
Uruguay,3473730,0.35,11996,20,175020,-3000,2,36,96,0.04,Uruguay
United States,331002651,0.59,1937734,36,9147420,954806,1.8,38,83,4.25,United States of America
Uzbekistan,33469203,1.48,487487,79,425400,-8863,2.4,28,50,0.43,Uzbekistan
Venezuela,28435940,-0.28,-79889,32,882050,-653249,2.3,30,0,0.36,Venezuela
Vietnam,97338579,0.91,876473,314,310070,-80000,2.1,32,38,1.25,Vietnam
West Bank and Gaza,,0.6,12345,798,6000,-20,2,30,40,,West Bank and Gaza
Western Sahara,597339,2.55,14876,2,266000,5582,2.4,28,87,0.01,Western Sahara
Yemen,29825964,2.28,664042,56,527970,-30000,3.8,20,38,0.38,Yemen
Zambia,18383955,2.93,522925,25,743390,-8000,4.7,18,45,0.24,Zambia
Zimbabwe,14862924,1.48,217456,38,386850,-116858,3.6,19,38,0.19,Zimbabwe
